time, S0, S1, P0, Cell
0.0, 0.0, 0.0, 2.0, 1.0
2.0, 0.8806564295504782, 0.8491521380649057, 2.0, 1.0
4.0, 1.8600825232343248, 1.633412595779224, 2.0, 1.0
6.0, 2.824926862081068, 2.19526330494144, 2.0, 1.0
8.0, 3.7754065401374146, 2.581408770957856, 2.0, 1.0
10.0, 4.711735419340798, 2.846973313578356, 2.0, 1.0
12.0, 5.634124177639204, 3.031810509659442, 2.0, 1.0
14.0, 6.542780356394602, 3.1617516766830267, 2.0, 1.0
16.0, 7.437908407080637, 3.253335995481969, 2.0, 1.0
18.0, 8.31970973728507, 3.3173507025697995, 2.0, 1.0
20.0, 9.188382756027316, 3.361027295995373, 2.0, 1.0
22.0, 10.04412291840134, 3.3893544352404428, 2.0, 1.0
24.0, 10.887122769553844, 3.4058679234812845, 2.0, 1.0
26.0, 11.717571988007785, 3.4131362353278543, 2.0, 1.0
28.0, 12.535657428340787, 3.4130666975732673, 2.0, 1.0
30.0, 13.341563163228257, 3.40710369851155, 2.0, 1.0
32.0, 14.135470524860489, 3.396360261371289, 2.0, 1.0
34.0, 14.917558145743158, 3.3817074500760915, 2.0, 1.0
36.0, 15.688001998890424, 3.3638364423968974, 2.0, 1.0
38.0, 16.44697543741958, 3.3433024829691163, 2.0, 1.0
40.0, 17.19464923355625, 3.3205565701374335, 2.0, 1.0
42.0, 17.93119161705882, 3.2959686779243187, 2.0, 1.0
44.0, 18.6567683130709, 3.2698450319020784, 2.0, 1.0
46.0, 19.371542579410146, 3.242441139550751, 2.0, 1.0
48.0, 20.075675243301962, 3.2139717434059327, 2.0, 1.0
50.0, 20.7693247375663, 3.1846185126537443, 2.0, 1.0
52.0, 21.452647136265707, 3.1545360511896727, 2.0, 1.0
54.0, 22.125796189822697, 3.1238566374640238, 2.0, 1.0
56.0, 22.788923359614184, 3.092693998399264, 2.0, 1.0
58.0, 23.44217785205097, 3.061146340041461, 2.0, 1.0
60.0, 24.0857066521498, 3.0292988007982684, 2.0, 1.0
62.0, 24.719654556605583, 2.997225452094435, 2.0, 1.0
64.0, 25.34416420637131, 2.9649909413208846, 2.0, 1.0
66.0, 25.959376118752854, 2.9326518498482295, 2.0, 1.0
68.0, 26.56542871902594, 2.900257822401517, 2.0, 1.0
70.0, 27.162458371582453, 2.867852511700886, 2.0, 1.0
72.0, 27.750599410612928, 2.8354743728696636, 2.0, 1.0
74.0, 28.3299841703324, 2.8031573349168792, 2.0, 1.0
76.0, 28.90074301475611, 2.7709313710538974, 2.0, 1.0
78.0, 29.463004367031942, 2.738822985295666, 2.0, 1.0
80.0, 30.016894738336234, 2.7068556294265713, 2.0, 1.0
82.0, 30.562538756339286, 2.675050061756803, 2.0, 1.0
84.0, 31.100059193247073, 2.643424656992233, 2.0, 1.0
86.0, 31.62957699342558, 2.6119956748645428, 2.0, 1.0
88.0, 32.15121130061377, 2.58077749382463, 2.0, 1.0
90.0, 32.665079484731436, 2.549782815019163, 2.0, 1.0
92.0, 33.17129716828789, 2.5190228408928172, 2.0, 1.0
94.0, 33.66997825239755, 2.4885074320441976, 2.0, 1.0
96.0, 34.16123494240815, 2.4582452453791706, 2.0, 1.0
98.0, 34.64517777314748, 2.4282438561250324, 2.0, 1.0
100.0, 35.121915633794124, 2.398509865872721, 2.0, 1.0